question_id,question,ground_truth_query,generated_query,success,total_iterations,first_attempt_valid,bleu,rouge_l_f1,jaro_winkler,jaccard_cypher,pass_at_1,jaccard_output,llmetric_q,reasoning_level,sublevel,complexity,errors_encountered
1,Berapakah jumlah SKS untuk mata kuliah 'Aljabar Linear'?,MATCH (n:MK {nama: 'Aljabar Linear'}) RETURN n.sks,MATCH (m:MK {nama: 'Aljabar Linear'}) RETURN m.sks,True,1,True,0.6665865240112948,0.7778,0.9583705025275051,0.7777777777777778,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
2,Apakah nama lengkap dari mata kuliah dengan kode 'TKU211131'?,MATCH (n:MK {kode: 'TKU211131'}) RETURN n.nama,MATCH (m:MK {kode: 'TKU211131'}) RETURN m.nama,True,1,True,0.6389431042462724,0.75,0.9816809605488851,0.75,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
3,Bagaimanakah deskripsi untuk Capaian Lulusan (SO) dengan kode 'KP.1'?,MATCH (n:SO {kode: 'KP.1'}) RETURN n.deskripsi,MATCH (so:SO {kode: 'KP.1'}) RETURN so.deskripsi,True,1,True,0.6901670171940026,0.7778,0.9430594977428163,0.7777777777777778,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
4,Tampilkan seluruh mata kuliah yang ditawarkan pada semester 1.,MATCH (n:MK) WHERE n.semester = 1 RETURN n.nama,MATCH (m:MK) WHERE m.semester = 1 RETURN m,True,1,True,0.4197010774824036,0.6316,0.8806785243741766,0.7,False,0.14285714285714285,50.41853547901374,Fakta Eksplisit,Nodes,Easy,
5,Tampilkan nama dan kode untuk semua mata kuliah yang memiliki tipe 'Pilihan'.,"MATCH (n:MK) WHERE n.tipe = 'Pilihan' RETURN n.nama, n.kode","MATCH (m:MK) WHERE m.tipe = 'Pilihan' RETURN m.nama, m.kode",True,1,True,0.4062749424452353,0.6667,0.9256277056277057,0.8181818181818182,True,1.0,100.0,Fakta Eksplisit,Nodes,Easy,
6,Apa sajakah klasifikasi unik yang ada untuk semua mata kuliah?,MATCH (n:MK) RETURN DISTINCT n.klasifikasi,MATCH (m:MK) RETURN DISTINCT m.klasifikasi,True,1,True,0.4497332084013506,0.7143,0.9833333333333334,0.7142857142857143,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
7,Berapakah jumlah total mata kuliah yang bertipe 'Wajib'?,MATCH (n:MK) WHERE n.tipe = 'Wajib' RETURN COUNT(n),MATCH (m:MK) WHERE m.tipe = 'Wajib' RETURN COUNT(m) AS total,True,1,True,0.4790714250659131,0.6364,0.9552173913043478,0.6666666666666666,True,1.0,100.0,Fakta Eksplisit,Nodes,Medium,
8,"Tampilkan semua mata kuliah, diurutkan berdasarkan semester dari awal hingga akhir.","MATCH (n:MK) RETURN n.nama, n.semester ORDER BY n.semester",MATCH (m:MK) RETURN m ORDER BY m.semester ASC,True,1,True,0.1860067949655926,0.5455,0.843949864867316,0.6,False,0.2777777777777778,52.50280487989214,Fakta Eksplisit,Nodes,Medium,
9,Sebutkan 5 mata kuliah yang diurutkan berdasarkan namanya.,MATCH (n:MK) RETURN n.nama ORDER BY n.nama LIMIT 5,"<think> Okay, let's tackle this problem. The user wants to list 5 courses sorted by their names. The previous query had a syntax error. The error message mentioned an invalid input '<' at line 1, column 9. Hmm, maybe there was a typo or a missing keyword. Looking at the schema, the courses are represented by the :MK nodes with a 'nama' property. The correct approach is to match all :MK nodes, order them by 'nama', and limit to 5. The initial query might have had something like ""ORDER BY <nama>"" which is incorrect. Oh right, in Cypher, you need to specify the property correctly. So the correct syntax should be ""ORDER BY n.nama"". Also, the user's previous attempt might have had a mistake in the RETURN clause. They should return the nodes or specific properties. Since the instruction says to return nodes with labels and properties, using RETURN n would be appropriate. But if the user wants just the names, it should be RETURN n.nama. However, the example given in the problem uses RETURN n, so maybe that's what's expected here. Wait, the error message shows an invalid '<' which might be from using a less-than symbol instead of a property. Maybe the original query had something like ORDER BY n.<nama> which is wrong. The correct is ORDER BY n.nama. Putting it all together, the correct query should be: MATCH (n:MK) RETURN n ORDER BY n.nama LIMIT 5. But wait, in Cypher, the order of clauses matters. The correct order is MATCH, then ORDER BY, then LIMIT, and finally RETURN. Wait no, the standard order is MATCH ... RETURN ... WITH ... etc. Wait, no, the correct syntax is MATCH ... RETURN ... with ORDER BY and LIMIT in the RETURN clause. Wait, no, ORDER BY and LIMIT are part of the RETURN clause. Let me check. In Cypher, the correct structure is: MATCH (n) RETURN n ORDER BY n.nama LIMIT 5. Yes, that's correct. So the previous query might have had the ORDER BY before RETURN, which is incorrect. The correct order is RETURN first, then ORDER BY and LIMIT. So the user's query probably had ORDER BY before RETURN, causing a syntax error. So the corrected query should be: MATCH (n:MK) RETURN n ORDER BY n.nama LIMIT 5. Let me make sure all the keywords are spelled correctly and the syntax is right. Yes",False,3,False,0.0264836439464726,0.0574,0.5322143226337275,0.059602649006622516,False,0.0,2.9480716131686378,Fakta Eksplisit,Nodes,Medium,syntax_error
10,Berapakah rata-rata jumlah SKS pada tiap semester.,"MATCH (n:MK) RETURN n.semester, AVG(n.sks) ORDER BY n.semester","MATCH (m:MK) RETURN m.semester AS semester, AVG(m.sks) AS average_sks",True,2,False,0.30480583461003735,0.4444,0.8515037593984962,0.5,False,0.125,48.97951879699248,Fakta Eksplisit,Nodes,Medium,syntax_error
